incrad,minsep,crowder_potential,phi_slot,phi_membrane,Labels
0.5,0.7,-0.25,0.807092845,0.605319634,1.0
0.5,0.7,-0.06,0.807092845,0.605319634,0.0
0.5,0.7,-0.06,0.807092845,0.605319634,0.0
0.5,0.7,-0.06,0.807092845,0.605319634,1.0
0.5,0.7,-0.06,0.807092845,0.605319634,1.0
0.5,0.7,-0.06,0.807092845,0.605319634,1.0
0.5,0.7,-0.12,0.807092845,0.605319634,1.0
0.5,0.7,-0.12,0.807092845,0.605319634,1.0
0.5,0.7,-0.12,0.807092845,0.605319634,1.0
0.5,0.7,-0.12,0.807092845,0.605319634,1.0
0.5,0.7,-0.12,0.807092845,0.605319634,1.0
0.5,1.77,-0.19,0.943158065,0.707368549,0.0
0.5,1.77,-0.19,0.943158065,0.707368549,1.0
0.5,1.77,-0.19,0.943158065,0.707368549,1.0
0.5,1.77,-0.19,0.943158065,0.707368549,1.0
0.5,1.77,-0.19,0.943158065,0.707368549,0.0
0.5,1.24,-0.12,0.894023402,0.670517552,0.0
0.5,1.24,-0.12,0.894023402,0.670517552,0.0
0.5,1.24,-0.12,0.894023402,0.670517552,0.0
0.5,1.24,-0.12,0.894023402,0.670517552,1.0
0.5,1.24,-0.12,0.894023402,0.670517552,0.0
0.5,1.24,-0.06,0.894023402,0.670517552,0.0
0.5,1.24,-0.06,0.894023402,0.670517552,0.0
0.5,1.24,-0.06,0.894023402,0.670517552,1.0
0.5,1.24,-0.06,0.894023402,0.670517552,0.0
0.5,0.7,0.25,0.807092845,0.605319634,0.0
0.5,0.7,0.25,0.807092845,0.605319634,0.0
0.5,0.7,0.25,0.807092845,0.605319634,0.0
0.5,0.7,0.25,0.807092845,0.605319634,1.0
0.5,0.7,0.25,0.807092845,0.605319634,1.0
0.5,0.7,0.12,0.807092845,0.605319634,1.0
0.5,0.7,0.12,0.807092845,0.605319634,1.0
0.5,0.7,0.12,0.807092845,0.605319634,0.0
0.5,0.7,0.12,0.807092845,0.605319634,0.0
0.5,0.7,0.12,0.807092845,0.605319634,1.0
0.5,1.24,0.12,0.894023402,0.670517552,0.0
0.5,1.24,0.12,0.894023402,0.670517552,0.0
0.5,1.24,0.12,0.894023402,0.670517552,1.0
0.5,1.24,0.12,0.894023402,0.670517552,0.0
0.5,1.24,0.12,0.894023402,0.670517552,0.0
0.5,0.7,0.0,0.807092845,0.605319634,1.0
0.5,0.7,0.0,0.807092845,0.605319634,0.0
0.5,0.7,0.0,0.807092845,0.605319634,0.0
0.5,0.7,0.0,0.807092845,0.605319634,0.0
0.5,0.7,0.0,0.807092845,0.605319634,1.0
0.5,1.24,0.0,0.894023402,0.670517552,1.0
0.5,1.24,0.0,0.894023402,0.670517552,1.0
0.5,1.24,0.0,0.894023402,0.670517552,1.0
0.5,1.24,0.0,0.894023402,0.670517552,0.0
0.5,1.24,0.0,0.894023402,0.670517552,0.0
0.5,1.24,-0.25,0.894023402,0.670517552,0.0
0.5,1.24,-0.25,0.894023402,0.670517552,0.0
0.5,1.24,-0.25,0.894023402,0.670517552,0.0
0.5,1.24,-0.25,0.894023402,0.670517552,0.0
0.5,1.24,-0.25,0.894023402,0.670517552,1.0
0.5,0.7,0.06,0.807092845,0.605319634,1.0
0.5,0.7,0.19,0.807092845,0.605319634,1.0
0.5,0.7,0.19,0.807092845,0.605319634,0.0
0.5,0.7,0.19,0.807092845,0.605319634,1.0
0.5,0.7,0.19,0.807092845,0.605319634,1.0
0.5,0.7,0.19,0.807092845,0.605319634,0.0
0.5,1.24,-0.19,0.894023402,0.670517552,1.0
0.5,1.24,-0.19,0.894023402,0.670517552,1.0
0.5,1.24,-0.19,0.894023402,0.670517552,1.0
0.5,1.24,-0.19,0.894023402,0.670517552,0.0
0.5,1.24,-0.19,0.894023402,0.670517552,1.0
0.5,1.24,0.25,0.894023402,0.670517552,0.0
0.5,1.24,0.25,0.894023402,0.670517552,1.0
0.5,1.24,0.25,0.894023402,0.670517552,0.0
0.5,1.24,0.25,0.894023402,0.670517552,1.0
0.5,1.24,0.25,0.894023402,0.670517552,1.0
0.5,1.24,0.19,0.894023402,0.670517552,1.0
0.5,1.24,0.19,0.894023402,0.670517552,0.0
0.5,1.24,0.19,0.894023402,0.670517552,0.0
0.5,1.24,0.19,0.894023402,0.670517552,1.0
0.5,1.24,0.19,0.894023402,0.670517552,0.0
0.5,1.24,0.06,0.894023402,0.670517552,0.0
0.5,1.24,0.06,0.894023402,0.670517552,1.0
0.5,1.24,0.06,0.894023402,0.670517552,0.0
0.5,1.24,0.06,0.894023402,0.670517552,0.0
0.5,1.24,0.06,0.894023402,0.670517552,1.0
0.5,1.77,-0.25,0.943158065,0.707368549,1.0
0.5,1.77,-0.25,0.943158065,0.707368549,1.0
0.5,1.77,-0.25,0.943158065,0.707368549,0.0
0.5,1.77,-0.25,0.943158065,0.707368549,1.0
0.5,1.77,-0.25,0.943158065,0.707368549,1.0
0.5,1.77,0.0,0.943158065,0.707368549,1.0
0.5,1.77,0.0,0.943158065,0.707368549,0.0
0.5,1.77,0.0,0.943158065,0.707368549,1.0
0.5,1.77,0.0,0.943158065,0.707368549,1.0
0.5,1.77,0.0,0.943158065,0.707368549,0.0
0.5,1.77,-0.12,0.943158065,0.707368549,1.0
0.5,1.77,-0.12,0.943158065,0.707368549,1.0
0.5,1.77,-0.12,0.943158065,0.707368549,0.0
0.5,1.77,-0.12,0.943158065,0.707368549,1.0
0.5,1.77,-0.12,0.943158065,0.707368549,1.0
0.5,1.77,-0.06,0.943158065,0.707368549,1.0
0.5,1.77,-0.06,0.943158065,0.707368549,0.0
0.5,1.77,-0.06,0.943158065,0.707368549,1.0
0.5,1.77,-0.06,0.943158065,0.707368549,1.0
0.5,1.77,-0.06,0.943158065,0.707368549,1.0
0.5,1.77,0.06,0.943158065,0.707368549,1.0
0.5,1.77,0.06,0.943158065,0.707368549,1.0
0.5,1.77,0.06,0.943158065,0.707368549,1.0
0.5,1.77,0.06,0.943158065,0.707368549,1.0
0.5,1.77,0.06,0.943158065,0.707368549,0.0
0.5,2.85,-0.12,0.97717437,0.732880778,0.0
0.5,2.85,-0.12,0.97717437,0.732880778,0.0
0.5,2.85,-0.12,0.97717437,0.732880778,0.0
0.5,2.85,-0.12,0.97717437,0.732880778,0.0
0.5,2.85,-0.12,0.97717437,0.732880778,0.0
0.5,2.31,0.25,0.954496833,0.715872625,0.0
0.5,2.31,0.25,0.954496833,0.715872625,1.0
0.5,2.31,0.25,0.954496833,0.715872625,1.0
0.5,2.31,0.25,0.954496833,0.715872625,1.0
0.5,2.31,0.25,0.954496833,0.715872625,1.0
0.5,2.85,-0.25,0.97717437,0.732880778,1.0
0.5,2.85,-0.25,0.97717437,0.732880778,0.0
0.5,2.85,-0.25,0.97717437,0.732880778,0.0
0.5,2.85,-0.25,0.97717437,0.732880778,1.0
0.5,2.85,-0.25,0.97717437,0.732880778,0.0
0.5,2.31,0.19,0.954496833,0.715872625,1.0
0.5,2.31,0.19,0.954496833,0.715872625,1.0
0.5,2.31,0.19,0.954496833,0.715872625,0.0
0.5,2.31,0.19,0.954496833,0.715872625,1.0
0.5,2.31,0.19,0.954496833,0.715872625,1.0
0.5,2.85,-0.19,0.97717437,0.732880778,1.0
0.5,2.85,-0.19,0.97717437,0.732880778,0.0
0.5,2.85,-0.19,0.97717437,0.732880778,0.0
0.5,2.85,-0.19,0.97717437,0.732880778,1.0
0.5,2.85,-0.19,0.97717437,0.732880778,0.0
0.5,1.77,0.12,0.943158065,0.707368549,1.0
0.5,1.77,0.12,0.943158065,0.707368549,0.0
0.5,1.77,0.12,0.943158065,0.707368549,0.0
0.5,1.77,0.12,0.943158065,0.707368549,0.0
0.5,1.77,0.12,0.943158065,0.707368549,1.0
0.5,2.31,-0.25,0.954496833,0.715872625,1.0
0.5,2.31,-0.25,0.954496833,0.715872625,1.0
0.5,2.31,-0.25,0.954496833,0.715872625,1.0
0.5,2.31,-0.25,0.954496833,0.715872625,1.0
0.5,2.31,-0.25,0.954496833,0.715872625,1.0
0.5,1.77,0.19,0.943158065,0.707368549,0.0
0.5,1.77,0.19,0.943158065,0.707368549,1.0
0.5,1.77,0.19,0.943158065,0.707368549,1.0
0.5,1.77,0.19,0.943158065,0.707368549,1.0
0.5,1.77,0.19,0.943158065,0.707368549,1.0
0.5,1.77,0.25,0.943158065,0.707368549,1.0
0.5,1.77,0.25,0.943158065,0.707368549,1.0
0.5,1.77,0.25,0.943158065,0.707368549,1.0
0.5,1.77,0.25,0.943158065,0.707368549,1.0
0.5,1.77,0.25,0.943158065,0.707368549,1.0
0.5,2.31,-0.19,0.954496833,0.715872625,0.0
0.5,2.31,-0.19,0.954496833,0.715872625,1.0
0.5,2.31,-0.19,0.954496833,0.715872625,0.0
0.5,2.31,-0.19,0.954496833,0.715872625,1.0
0.5,2.31,-0.19,0.954496833,0.715872625,1.0
0.5,2.31,-0.12,0.954496833,0.715872625,0.0
0.5,2.31,-0.12,0.954496833,0.715872625,1.0
0.5,2.31,-0.12,0.954496833,0.715872625,1.0
0.5,2.31,-0.12,0.954496833,0.715872625,0.0
0.5,2.31,-0.12,0.954496833,0.715872625,1.0
0.5,2.31,-0.06,0.954496833,0.715872625,1.0
0.5,2.31,-0.06,0.954496833,0.715872625,0.0
0.5,2.31,-0.06,0.954496833,0.715872625,1.0
0.5,2.31,-0.06,0.954496833,0.715872625,1.0
0.5,2.31,-0.06,0.954496833,0.715872625,1.0
0.5,2.31,0.0,0.954496833,0.715872625,0.0
0.5,2.31,0.0,0.954496833,0.715872625,0.0
0.5,2.31,0.0,0.954496833,0.715872625,0.0
0.5,2.31,0.0,0.954496833,0.715872625,1.0
0.5,2.31,0.0,0.954496833,0.715872625,1.0
0.5,2.31,0.12,0.954496833,0.715872625,1.0
0.5,2.31,0.12,0.954496833,0.715872625,0.0
0.5,2.31,0.12,0.954496833,0.715872625,0.0
0.5,2.31,0.12,0.954496833,0.715872625,0.0
0.5,2.31,0.12,0.954496833,0.715872625,1.0
0.5,2.31,0.06,0.954496833,0.715872625,0.0
0.5,2.31,0.06,0.954496833,0.715872625,1.0
0.5,2.31,0.06,0.954496833,0.715872625,1.0
0.5,2.31,0.06,0.954496833,0.715872625,0.0
0.5,2.31,0.06,0.954496833,0.715872625,1.0
0.5,2.85,0.25,0.97717437,0.732880778,0.0
0.5,2.85,0.25,0.97717437,0.732880778,1.0
0.5,2.85,0.25,0.97717437,0.732880778,0.0
0.5,2.85,0.25,0.97717437,0.732880778,0.0
0.5,2.85,0.25,0.97717437,0.732880778,0.0
0.5,2.85,0.19,0.97717437,0.732880778,0.0
0.5,2.85,0.19,0.97717437,0.732880778,0.0
0.5,2.85,0.19,0.97717437,0.732880778,0.0
0.5,2.85,0.19,0.97717437,0.732880778,0.0
0.5,2.85,0.19,0.97717437,0.732880778,1.0
0.5,2.85,0.12,0.97717437,0.732880778,0.0
0.5,2.85,0.12,0.97717437,0.732880778,1.0
0.5,2.85,0.12,0.97717437,0.732880778,0.0
0.5,2.85,0.12,0.97717437,0.732880778,1.0
0.5,2.85,0.12,0.97717437,0.732880778,0.0
0.5,2.85,-0.06,0.97717437,0.732880778,0.0
0.5,2.85,-0.06,0.97717437,0.732880778,1.0
0.5,2.85,-0.06,0.97717437,0.732880778,0.0
0.5,2.85,-0.06,0.97717437,0.732880778,1.0
0.5,2.85,-0.06,0.97717437,0.732880778,0.0
0.5,2.85,0.06,0.97717437,0.732880778,1.0
0.5,2.85,0.06,0.97717437,0.732880778,0.0
0.5,2.85,0.06,0.97717437,0.732880778,1.0
0.5,2.85,0.06,0.97717437,0.732880778,0.0
0.5,2.85,0.06,0.97717437,0.732880778,1.0
0.5,2.85,0.0,0.97717437,0.732880778,0.0
0.5,2.85,0.0,0.97717437,0.732880778,0.0
0.5,2.85,0.0,0.97717437,0.732880778,1.0
0.5,2.85,0.0,0.97717437,0.732880778,0.0
0.5,2.85,0.0,0.97717437,0.732880778,0.0
0.5,3.39,-0.25,0.979064165,0.734298124,1.0
0.5,3.39,-0.25,0.979064165,0.734298124,1.0
0.5,3.39,-0.25,0.979064165,0.734298124,0.0
0.5,3.39,-0.25,0.979064165,0.734298124,1.0
0.5,3.39,-0.25,0.979064165,0.734298124,0.0
0.5,3.39,-0.19,0.979064165,0.734298124,1.0
0.5,3.39,-0.19,0.979064165,0.734298124,0.0
0.5,3.39,-0.19,0.979064165,0.734298124,1.0
0.5,3.39,-0.19,0.979064165,0.734298124,0.0
0.5,3.39,-0.19,0.979064165,0.734298124,1.0
0.5,3.39,0.12,0.979064165,0.734298124,0.0
0.5,3.39,0.12,0.979064165,0.734298124,0.0
0.5,3.39,0.12,0.979064165,0.734298124,0.0
0.5,3.39,0.12,0.979064165,0.734298124,1.0
0.5,3.39,0.12,0.979064165,0.734298124,1.0
0.5,3.39,0.19,0.979064165,0.734298124,1.0
0.5,3.39,0.19,0.979064165,0.734298124,0.0
0.5,3.39,0.19,0.979064165,0.734298124,1.0
0.5,3.39,0.19,0.979064165,0.734298124,1.0
0.5,3.39,0.19,0.979064165,0.734298124,1.0
0.5,3.39,-0.06,0.979064165,0.734298124,0.0
0.5,3.39,-0.06,0.979064165,0.734298124,0.0
0.5,3.39,-0.06,0.979064165,0.734298124,1.0
0.5,3.39,-0.06,0.979064165,0.734298124,0.0
0.5,3.39,-0.06,0.979064165,0.734298124,1.0
0.5,3.39,-0.12,0.979064165,0.734298124,0.0
0.5,3.39,-0.12,0.979064165,0.734298124,0.0
0.5,3.39,-0.12,0.979064165,0.734298124,0.0
0.5,3.39,-0.12,0.979064165,0.734298124,0.0
0.5,3.39,-0.12,0.979064165,0.734298124,1.0
0.5,3.39,0.0,0.979064165,0.734298124,1.0
0.5,3.39,0.0,0.979064165,0.734298124,1.0
0.5,3.39,0.0,0.979064165,0.734298124,1.0
0.5,3.39,0.0,0.979064165,0.734298124,1.0
0.5,3.39,0.0,0.979064165,0.734298124,0.0
0.5,3.39,0.06,0.979064165,0.734298124,1.0
0.5,3.39,0.06,0.979064165,0.734298124,1.0
0.5,3.39,0.06,0.979064165,0.734298124,1.0
0.5,3.39,0.06,0.979064165,0.734298124,1.0
0.5,3.39,0.06,0.979064165,0.734298124,0.0
0.5,4.46,-0.19,0.992292728,0.744219546,1.0
0.5,4.46,-0.19,0.992292728,0.744219546,1.0
0.5,4.46,-0.19,0.992292728,0.744219546,1.0
0.5,4.46,-0.19,0.992292728,0.744219546,1.0
0.5,4.46,-0.19,0.992292728,0.744219546,1.0
0.5,4.46,0.0,0.992292728,0.744219546,1.0
0.5,4.46,0.0,0.992292728,0.744219546,1.0
0.5,4.46,0.0,0.992292728,0.744219546,1.0
0.5,4.46,0.0,0.992292728,0.744219546,1.0
0.5,4.46,0.0,0.992292728,0.744219546,1.0
0.5,4.46,-0.25,0.992292728,0.744219546,1.0
0.5,4.46,-0.25,0.992292728,0.744219546,1.0
0.5,4.46,-0.25,0.992292728,0.744219546,1.0
0.5,4.46,-0.25,0.992292728,0.744219546,1.0
0.5,4.46,-0.25,0.992292728,0.744219546,1.0
0.5,4.46,0.19,0.992292728,0.744219546,1.0
0.5,4.46,0.19,0.992292728,0.744219546,1.0
0.5,4.46,0.19,0.992292728,0.744219546,1.0
0.5,4.46,0.19,0.992292728,0.744219546,1.0
0.5,4.46,0.19,0.992292728,0.744219546,1.0
0.5,4.46,-0.06,0.992292728,0.744219546,1.0
0.5,4.46,-0.06,0.992292728,0.744219546,1.0
0.5,4.46,-0.06,0.992292728,0.744219546,1.0
0.5,4.46,-0.06,0.992292728,0.744219546,1.0
0.5,4.46,-0.06,0.992292728,0.744219546,1.0
1.06,0.7,-0.06,0.749487813,0.56211586,1.0
1.06,0.7,-0.06,0.749487813,0.56211586,1.0
1.06,0.7,-0.06,0.749487813,0.56211586,0.0
1.06,0.7,-0.06,0.749487813,0.56211586,0.0
1.06,0.7,-0.06,0.749487813,0.56211586,0.0
1.06,0.7,0.0,0.749487813,0.56211586,0.0
1.06,0.7,0.0,0.749487813,0.56211586,0.0
1.06,0.7,0.0,0.749487813,0.56211586,1.0
1.06,0.7,0.0,0.749487813,0.56211586,1.0
1.06,0.7,0.0,0.749487813,0.56211586,1.0
1.06,1.77,0.12,0.914248291,0.685686218,0.0
1.06,1.77,0.12,0.914248291,0.685686218,0.0
1.06,1.77,0.12,0.914248291,0.685686218,0.0
1.06,1.77,0.12,0.914248291,0.685686218,0.0
1.06,1.77,0.12,0.914248291,0.685686218,1.0
1.06,0.7,-0.19,0.749487813,0.56211586,1.0
1.06,0.7,-0.19,0.749487813,0.56211586,1.0
1.06,0.7,-0.19,0.749487813,0.56211586,1.0
1.06,0.7,-0.19,0.749487813,0.56211586,1.0
1.06,0.7,-0.19,0.749487813,0.56211586,0.0
1.06,0.7,-0.12,0.749487813,0.56211586,1.0
1.06,0.7,-0.12,0.749487813,0.56211586,1.0
1.06,0.7,-0.12,0.749487813,0.56211586,0.0
1.06,0.7,-0.12,0.749487813,0.56211586,0.0
1.06,0.7,-0.12,0.749487813,0.56211586,1.0
1.06,0.7,-0.25,0.749487813,0.56211586,0.0
1.06,0.7,-0.25,0.749487813,0.56211586,0.0
1.06,0.7,-0.25,0.749487813,0.56211586,0.0
1.06,0.7,-0.25,0.749487813,0.56211586,0.0
1.06,0.7,-0.25,0.749487813,0.56211586,0.0
1.06,1.77,0.0,0.914248291,0.685686218,1.0
1.06,1.77,0.0,0.914248291,0.685686218,0.0
1.06,1.77,0.0,0.914248291,0.685686218,1.0
1.06,1.77,0.0,0.914248291,0.685686218,1.0
1.06,1.77,0.0,0.914248291,0.685686218,1.0
1.06,0.7,0.12,0.749487813,0.56211586,0.0
1.06,0.7,0.12,0.749487813,0.56211586,0.0
1.06,0.7,0.12,0.749487813,0.56211586,1.0
1.06,0.7,0.12,0.749487813,0.56211586,1.0
1.06,0.7,0.12,0.749487813,0.56211586,1.0
1.06,0.7,0.06,0.749487813,0.56211586,0.0
1.06,0.7,0.06,0.749487813,0.56211586,1.0
1.06,0.7,0.06,0.749487813,0.56211586,1.0
1.06,0.7,0.06,0.749487813,0.56211586,1.0
1.06,0.7,0.06,0.749487813,0.56211586,0.0
1.06,2.85,-0.25,0.931591499,0.698693624,0.0
1.06,2.85,-0.25,0.931591499,0.698693624,1.0
1.06,2.85,-0.25,0.931591499,0.698693624,1.0
1.06,2.85,-0.25,0.931591499,0.698693624,0.0
1.06,2.85,-0.25,0.931591499,0.698693624,0.0
1.06,2.31,-0.19,0.931591499,0.698693624,1.0
1.06,2.31,-0.19,0.931591499,0.698693624,1.0
1.06,2.31,-0.19,0.931591499,0.698693624,0.0
1.06,2.31,-0.19,0.931591499,0.698693624,1.0
1.06,2.31,-0.19,0.931591499,0.698693624,1.0
1.06,1.77,0.19,0.914248291,0.685686218,1.0
1.06,1.77,0.19,0.914248291,0.685686218,0.0
1.06,1.77,0.19,0.914248291,0.685686218,1.0
1.06,1.77,0.19,0.914248291,0.685686218,1.0
1.06,1.77,0.19,0.914248291,0.685686218,0.0
1.06,2.31,-0.25,0.931591499,0.698693624,1.0
1.06,2.31,-0.25,0.931591499,0.698693624,0.0
1.06,2.31,-0.25,0.931591499,0.698693624,0.0
1.06,2.31,-0.25,0.931591499,0.698693624,0.0
1.06,2.31,-0.25,0.931591499,0.698693624,1.0
1.06,2.31,0.19,0.931591499,0.698693624,1.0
1.06,2.31,0.19,0.931591499,0.698693624,0.0
1.06,2.31,0.19,0.931591499,0.698693624,1.0
1.06,2.31,0.19,0.931591499,0.698693624,0.0
1.06,2.31,0.19,0.931591499,0.698693624,0.0
1.06,2.31,-0.12,0.931591499,0.698693624,1.0
1.06,2.31,-0.12,0.931591499,0.698693624,0.0
