incrad,minsep,crowder_potential,phi_slot,phi_membrane,Deff_membrane
0.5,0.7,-0.25,0.807092845,0.605319634,0.572649773
0.5,0.7,-0.25,0.807092845,0.605319634,0.572537811
0.5,0.7,-0.25,0.807092845,0.605319634,0.571508948
0.5,0.7,-0.25,0.807092845,0.605319634,0.571509973
0.5,0.7,-0.25,0.807092845,0.605319634,0.572188949
0.5,0.7,-0.06,0.807092845,0.605319634,0.531248556
0.5,0.7,-0.06,0.807092845,0.605319634,0.533987328
0.5,0.7,-0.06,0.807092845,0.605319634,0.532198823
0.5,0.7,-0.06,0.807092845,0.605319634,0.533973943
0.5,0.7,-0.06,0.807092845,0.605319634,0.532209316
0.5,1.77,-0.19,0.943158065,0.707368549,0.705142802
0.5,1.77,-0.19,0.943158065,0.707368549,0.704890029
0.5,1.77,-0.19,0.943158065,0.707368549,0.706090107
0.5,1.77,-0.19,0.943158065,0.707368549,0.705327822
0.5,1.77,-0.19,0.943158065,0.707368549,0.704363641
0.5,1.24,-0.12,0.894023402,0.670517552,0.638084471
0.5,1.24,-0.12,0.894023402,0.670517552,0.638275947
0.5,1.24,-0.06,0.894023402,0.670517552,0.622760391
0.5,1.24,-0.06,0.894023402,0.670517552,0.624290133
0.5,0.7,0.25,0.807092845,0.605319634,0.477155259
0.5,0.7,0.25,0.807092845,0.605319634,0.475969799
0.5,0.7,0.25,0.807092845,0.605319634,0.477176121
0.5,0.7,0.25,0.807092845,0.605319634,0.476712787
0.5,0.7,0.25,0.807092845,0.605319634,0.476214726
0.5,0.7,0.12,0.807092845,0.605319634,0.4989925
0.5,0.7,0.12,0.807092845,0.605319634,0.499144797
0.5,0.7,0.12,0.807092845,0.605319634,0.499799418
0.5,0.7,0.12,0.807092845,0.605319634,0.499113894
0.5,1.24,0.12,0.894023402,0.670517552,0.583612858
0.5,1.24,0.12,0.894023402,0.670517552,0.581692408
0.5,1.24,0.12,0.894023402,0.670517552,0.584433406
0.5,1.24,0.12,0.894023402,0.670517552,0.58372533
0.5,1.24,0.12,0.894023402,0.670517552,0.581785135
0.5,0.7,0,0.807092845,0.605319634,0.520685978
0.5,0.7,0,0.807092845,0.605319634,0.520010955
0.5,0.7,0,0.807092845,0.605319634,0.521056163
0.5,0.7,0,0.807092845,0.605319634,0.521571324
0.5,0.7,0,0.807092845,0.605319634,0.520066299
0.5,1.24,0,0.894023402,0.670517552,0.610055957
0.5,1.24,0,0.894023402,0.670517552,0.60956932
0.5,1.24,0,0.894023402,0.670517552,0.609803223
0.5,1.24,0,0.894023402,0.670517552,0.609957092
0.5,1.24,-0.25,0.894023402,0.670517552,0.669945685
0.5,1.24,-0.25,0.894023402,0.670517552,0.668624992
0.5,1.24,-0.25,0.894023402,0.670517552,0.66845153
0.5,1.24,-0.25,0.894023402,0.670517552,0.668903159
0.5,1.24,-0.25,0.894023402,0.670517552,0.671831227
0.5,0.7,0.06,0.807092845,0.605319634,0.509187528
0.5,0.7,0.06,0.807092845,0.605319634,0.510928439
0.5,0.7,0.06,0.807092845,0.605319634,0.510658611
