incrad,minsep,crowder_potential,phi_slot,phi_membrane,totflux_A_1000
0.5,0.7,-0.25,0.807092845,0.605319634,8.24e-05
0.5,0.7,-0.06,0.807092845,0.605319634,-0.000250788
0.5,0.7,-0.06,0.807092845,0.605319634,-0.000161178
0.5,0.7,-0.06,0.807092845,0.605319634,6.86e-05
0.5,0.7,-0.06,0.807092845,0.605319634,0.000152739
0.5,0.7,-0.06,0.807092845,0.605319634,0.00017658
0.5,0.7,-0.12,0.807092845,0.605319634,6.12e-05
0.5,0.7,-0.12,0.807092845,0.605319634,8e-06
0.5,0.7,-0.12,0.807092845,0.605319634,0.000174121
0.5,0.7,-0.12,0.807092845,0.605319634,0.000187319
0.5,0.7,-0.12,0.807092845,0.605319634,3.92e-05
0.5,1.77,-0.19,0.943158065,0.707368549,-6.76e-05
0.5,1.77,-0.19,0.943158065,0.707368549,0.000249473
0.5,1.77,-0.19,0.943158065,0.707368549,0.000464713
0.5,1.77,-0.19,0.943158065,0.707368549,0.000206942
0.5,1.77,-0.19,0.943158065,0.707368549,-5.51e-05
0.5,1.24,-0.12,0.894023402,0.670517552,-8.24e-05
0.5,1.24,-0.12,0.894023402,0.670517552,-5.87e-06
0.5,1.24,-0.12,0.894023402,0.670517552,-0.000251772
0.5,1.24,-0.12,0.894023402,0.670517552,0.000162064
0.5,1.24,-0.12,0.894023402,0.670517552,-0.000116595
0.5,1.24,-0.06,0.894023402,0.670517552,-0.000231785
0.5,1.24,-0.06,0.894023402,0.670517552,-0.000190519
0.5,1.24,-0.06,0.894023402,0.670517552,3.74e-06
0.5,1.24,-0.06,0.894023402,0.670517552,-3.77e-05
0.5,0.7,0.25,0.807092845,0.605319634,-5.14e-06
0.5,0.7,0.25,0.807092845,0.605319634,-0.000111489
0.5,0.7,0.25,0.807092845,0.605319634,-0.000124273
0.5,0.7,0.25,0.807092845,0.605319634,5.52e-05
0.5,0.7,0.25,0.807092845,0.605319634,0.000136548
0.5,0.7,0.12,0.807092845,0.605319634,0.000277014
0.5,0.7,0.12,0.807092845,0.605319634,0.00036436
0.5,0.7,0.12,0.807092845,0.605319634,-1.21e-05
0.5,0.7,0.12,0.807092845,0.605319634,-0.000107262
0.5,0.7,0.12,0.807092845,0.605319634,0.000213142
0.5,1.24,0.12,0.894023402,0.670517552,-0.000127753
0.5,1.24,0.12,0.894023402,0.670517552,-8.87e-05
0.5,1.24,0.12,0.894023402,0.670517552,3.92e-05
0.5,1.24,0.12,0.894023402,0.670517552,-9.55e-06
0.5,1.24,0.12,0.894023402,0.670517552,-0.000131756
0.5,0.7,0.0,0.807092845,0.605319634,0.000134813
0.5,0.7,0.0,0.807092845,0.605319634,-4.48e-05
0.5,0.7,0.0,0.807092845,0.605319634,-3.32e-05
0.5,0.7,0.0,0.807092845,0.605319634,-0.000274837
0.5,0.7,0.0,0.807092845,0.605319634,8.09e-06
0.5,1.24,0.0,0.894023402,0.670517552,0.000195437
0.5,1.24,0.0,0.894023402,0.670517552,0.000300168
0.5,1.24,0.0,0.894023402,0.670517552,4.06e-05
0.5,1.24,0.0,0.894023402,0.670517552,-0.000451317
0.5,1.24,0.0,0.894023402,0.670517552,-3.57e-05
0.5,1.24,-0.25,0.894023402,0.670517552,-0.000222843
0.5,1.24,-0.25,0.894023402,0.670517552,-4.65e-05
0.5,1.24,-0.25,0.894023402,0.670517552,-0.000289168
0.5,1.24,-0.25,0.894023402,0.670517552,-0.000358369
0.5,1.24,-0.25,0.894023402,0.670517552,0.000154178
0.5,0.7,0.06,0.807092845,0.605319634,4.94e-06
0.5,0.7,0.19,0.807092845,0.605319634,0.00012863
0.5,0.7,0.19,0.807092845,0.605319634,-8.07e-05
0.5,0.7,0.19,0.807092845,0.605319634,1.41e-05
0.5,0.7,0.19,0.807092845,0.605319634,8.24e-05
0.5,0.7,0.19,0.807092845,0.605319634,-3.18e-06
0.5,1.24,-0.19,0.894023402,0.670517552,2.12e-05
0.5,1.24,-0.19,0.894023402,0.670517552,9.99e-05
0.5,1.24,-0.19,0.894023402,0.670517552,6.22e-05
0.5,1.24,-0.19,0.894023402,0.670517552,-8.04e-05
0.5,1.24,-0.19,0.894023402,0.670517552,1.12e-05
0.5,1.24,0.25,0.894023402,0.670517552,-0.000512547
0.5,1.24,0.25,0.894023402,0.670517552,0.000249297
0.5,1.24,0.25,0.894023402,0.670517552,-3.83e-05
0.5,1.24,0.25,0.894023402,0.670517552,0.000116478
0.5,1.24,0.25,0.894023402,0.670517552,0.000136394
0.5,1.24,0.19,0.894023402,0.670517552,0.000116189
0.5,1.24,0.19,0.894023402,0.670517552,-0.000122173
0.5,1.24,0.19,0.894023402,0.670517552,-2.41e-05
0.5,1.24,0.19,0.894023402,0.670517552,0.000315254
0.5,1.24,0.19,0.894023402,0.670517552,-0.000142439
0.5,1.24,0.06,0.894023402,0.670517552,-0.000105719
0.5,1.24,0.06,0.894023402,0.670517552,4.48e-05
0.5,1.24,0.06,0.894023402,0.670517552,-0.000216223
0.5,1.24,0.06,0.894023402,0.670517552,-0.000150571
0.5,1.24,0.06,0.894023402,0.670517552,0.000101233
0.5,1.77,-0.25,0.943158065,0.707368549,0.000232326
0.5,1.77,-0.25,0.943158065,0.707368549,0.00014804
0.5,1.77,-0.25,0.943158065,0.707368549,-8.25e-05
0.5,1.77,-0.25,0.943158065,0.707368549,0.00012284
0.5,1.77,-0.25,0.943158065,0.707368549,6.75e-05
0.5,1.77,0.0,0.943158065,0.707368549,0.000273621
0.5,1.77,0.0,0.943158065,0.707368549,-1.59e-05
0.5,1.77,0.0,0.943158065,0.707368549,0.000117006
0.5,1.77,0.0,0.943158065,0.707368549,3.67e-05
0.5,1.77,0.0,0.943158065,0.707368549,-3.44e-05
0.5,1.77,-0.12,0.943158065,0.707368549,0.000171619
0.5,1.77,-0.12,0.943158065,0.707368549,0.000325582
0.5,1.77,-0.12,0.943158065,0.707368549,-2.02e-06
0.5,1.77,-0.12,0.943158065,0.707368549,0.000114076
0.5,1.77,-0.12,0.943158065,0.707368549,1.77e-05
0.5,1.77,-0.06,0.943158065,0.707368549,0.000298465
0.5,1.77,-0.06,0.943158065,0.707368549,-1.92e-05
0.5,1.77,-0.06,0.943158065,0.707368549,5.31e-05
0.5,1.77,-0.06,0.943158065,0.707368549,7.97e-05
0.5,1.77,-0.06,0.943158065,0.707368549,0.000406983
0.5,1.77,0.06,0.943158065,0.707368549,8.48e-05
0.5,1.77,0.06,0.943158065,0.707368549,0.000145371
0.5,1.77,0.06,0.943158065,0.707368549,0.000227611
0.5,1.77,0.06,0.943158065,0.707368549,8.84e-05
0.5,1.77,0.06,0.943158065,0.707368549,-3.97e-05
0.5,2.85,-0.12,0.97717437,0.732880778,-0.000398969
0.5,2.85,-0.12,0.97717437,0.732880778,-0.000195003
0.5,2.85,-0.12,0.97717437,0.732880778,-0.000157523
0.5,2.85,-0.12,0.97717437,0.732880778,-0.000222247
0.5,2.85,-0.12,0.97717437,0.732880778,-0.00024973
0.5,2.31,0.25,0.954496833,0.715872625,-1.83e-05
0.5,2.31,0.25,0.954496833,0.715872625,0.000153926
0.5,2.31,0.25,0.954496833,0.715872625,0.000224436
0.5,2.31,0.25,0.954496833,0.715872625,0.000164209
0.5,2.31,0.25,0.954496833,0.715872625,0.000276601
0.5,2.85,-0.25,0.97717437,0.732880778,2.68e-05
0.5,2.85,-0.25,0.97717437,0.732880778,-5.96e-05
0.5,2.85,-0.25,0.97717437,0.732880778,-0.000157677
0.5,2.85,-0.25,0.97717437,0.732880778,0.000159816
0.5,2.85,-0.25,0.97717437,0.732880778,-0.000167133
0.5,2.31,0.19,0.954496833,0.715872625,0.000130505
0.5,2.31,0.19,0.954496833,0.715872625,2.19e-07
0.5,2.31,0.19,0.954496833,0.715872625,-1.68e-05
0.5,2.31,0.19,0.954496833,0.715872625,9.23e-05
0.5,2.31,0.19,0.954496833,0.715872625,0.000183398
0.5,2.85,-0.19,0.97717437,0.732880778,2.39e-05
0.5,2.85,-0.19,0.97717437,0.732880778,-0.000131615
0.5,2.85,-0.19,0.97717437,0.732880778,-0.000106034
0.5,2.85,-0.19,0.97717437,0.732880778,9.07e-05
0.5,2.85,-0.19,0.97717437,0.732880778,-0.000137228
0.5,1.77,0.12,0.943158065,0.707368549,0.000272533
0.5,1.77,0.12,0.943158065,0.707368549,-8.71e-05
0.5,1.77,0.12,0.943158065,0.707368549,-0.000127092
0.5,1.77,0.12,0.943158065,0.707368549,-9.14e-05
0.5,1.77,0.12,0.943158065,0.707368549,0.000168873
0.5,2.31,-0.25,0.954496833,0.715872625,0.000319265
0.5,2.31,-0.25,0.954496833,0.715872625,0.000289928
0.5,2.31,-0.25,0.954496833,0.715872625,0.000111146
0.5,2.31,-0.25,0.954496833,0.715872625,0.000160923
0.5,2.31,-0.25,0.954496833,0.715872625,0.000189774
0.5,1.77,0.19,0.943158065,0.707368549,-5.79e-06
0.5,1.77,0.19,0.943158065,0.707368549,0.000206194
0.5,1.77,0.19,0.943158065,0.707368549,0.000267434
0.5,1.77,0.19,0.943158065,0.707368549,0.000173856
0.5,1.77,0.19,0.943158065,0.707368549,0.000186646
0.5,1.77,0.25,0.943158065,0.707368549,2.82e-05
0.5,1.77,0.25,0.943158065,0.707368549,0.000133387
0.5,1.77,0.25,0.943158065,0.707368549,0.000287403
0.5,1.77,0.25,0.943158065,0.707368549,6.12e-06
0.5,1.77,0.25,0.943158065,0.707368549,7.22e-05
0.5,2.31,-0.19,0.954496833,0.715872625,-0.000124327
0.5,2.31,-0.19,0.954496833,0.715872625,0.000201241
0.5,2.31,-0.19,0.954496833,0.715872625,-0.000299421
0.5,2.31,-0.19,0.954496833,0.715872625,0.000146106
0.5,2.31,-0.19,0.954496833,0.715872625,7.67e-05
0.5,2.31,-0.12,0.954496833,0.715872625,-0.000114673
0.5,2.31,-0.12,0.954496833,0.715872625,5.35e-05
0.5,2.31,-0.12,0.954496833,0.715872625,0.000168106
0.5,2.31,-0.12,0.954496833,0.715872625,-9.92e-05
0.5,2.31,-0.12,0.954496833,0.715872625,0.000110554
0.5,2.31,-0.06,0.954496833,0.715872625,4.63e-05
0.5,2.31,-0.06,0.954496833,0.715872625,-0.00030151
0.5,2.31,-0.06,0.954496833,0.715872625,5.3e-05
0.5,2.31,-0.06,0.954496833,0.715872625,4.91e-05
0.5,2.31,-0.06,0.954496833,0.715872625,8.67e-05
0.5,2.31,0.0,0.954496833,0.715872625,-9.74e-05
0.5,2.31,0.0,0.954496833,0.715872625,-0.000221498
0.5,2.31,0.0,0.954496833,0.715872625,-7.7e-05
0.5,2.31,0.0,0.954496833,0.715872625,3.93e-05
0.5,2.31,0.0,0.954496833,0.715872625,0.000141172
0.5,2.31,0.12,0.954496833,0.715872625,1.13e-05
0.5,2.31,0.12,0.954496833,0.715872625,-6.13e-05
0.5,2.31,0.12,0.954496833,0.715872625,-0.000391582
0.5,2.31,0.12,0.954496833,0.715872625,-0.000320099
0.5,2.31,0.12,0.954496833,0.715872625,3.99e-05
0.5,2.31,0.06,0.954496833,0.715872625,-3.83e-06
0.5,2.31,0.06,0.954496833,0.715872625,0.000233314
0.5,2.31,0.06,0.954496833,0.715872625,0.000233817
0.5,2.31,0.06,0.954496833,0.715872625,-0.000221621
0.5,2.31,0.06,0.954496833,0.715872625,0.000234214
0.5,2.85,0.25,0.97717437,0.732880778,-0.000287355
0.5,2.85,0.25,0.97717437,0.732880778,0.000125702
0.5,2.85,0.25,0.97717437,0.732880778,-4.69e-05
0.5,2.85,0.25,0.97717437,0.732880778,-9.79e-05
0.5,2.85,0.25,0.97717437,0.732880778,-5.84e-05
0.5,2.85,0.19,0.97717437,0.732880778,-3.24e-05
0.5,2.85,0.19,0.97717437,0.732880778,-0.000234204
0.5,2.85,0.19,0.97717437,0.732880778,-0.000414444
0.5,2.85,0.19,0.97717437,0.732880778,-4e-05
0.5,2.85,0.19,0.97717437,0.732880778,1.93e-05
0.5,2.85,0.12,0.97717437,0.732880778,-0.00011911
0.5,2.85,0.12,0.97717437,0.732880778,6.04e-05
0.5,2.85,0.12,0.97717437,0.732880778,-6.49e-05
0.5,2.85,0.12,0.97717437,0.732880778,4.93e-06
0.5,2.85,0.12,0.97717437,0.732880778,-0.000376814
0.5,2.85,-0.06,0.97717437,0.732880778,-8.06e-05
0.5,2.85,-0.06,0.97717437,0.732880778,0.000192234
0.5,2.85,-0.06,0.97717437,0.732880778,-9.53e-05
0.5,2.85,-0.06,0.97717437,0.732880778,2.99e-05
0.5,2.85,-0.06,0.97717437,0.732880778,-0.000155733
0.5,2.85,0.06,0.97717437,0.732880778,2.59e-05
0.5,2.85,0.06,0.97717437,0.732880778,-8.98e-06
0.5,2.85,0.06,0.97717437,0.732880778,2.4e-05
0.5,2.85,0.06,0.97717437,0.732880778,-5.62e-06
0.5,2.85,0.06,0.97717437,0.732880778,9.93e-06
0.5,2.85,0.0,0.97717437,0.732880778,-0.000182837
0.5,2.85,0.0,0.97717437,0.732880778,-0.000545132
0.5,2.85,0.0,0.97717437,0.732880778,0.000106929
0.5,2.85,0.0,0.97717437,0.732880778,-0.000232096
0.5,2.85,0.0,0.97717437,0.732880778,-0.000124209
0.5,3.39,-0.25,0.979064165,0.734298124,1.82e-05
0.5,3.39,-0.25,0.979064165,0.734298124,6.19e-06
0.5,3.39,-0.25,0.979064165,0.734298124,-0.000286293
0.5,3.39,-0.25,0.979064165,0.734298124,7.13e-05
0.5,3.39,-0.25,0.979064165,0.734298124,-5.76e-05
0.5,3.39,-0.19,0.979064165,0.734298124,0.000161305
0.5,3.39,-0.19,0.979064165,0.734298124,-8.26e-06
0.5,3.39,-0.19,0.979064165,0.734298124,0.000153617
0.5,3.39,-0.19,0.979064165,0.734298124,-5.78e-05
0.5,3.39,-0.19,0.979064165,0.734298124,2.2e-05
0.5,3.39,0.12,0.979064165,0.734298124,-8.56e-05
0.5,3.39,0.12,0.979064165,0.734298124,-3.21e-05
0.5,3.39,0.12,0.979064165,0.734298124,-0.000282213
0.5,3.39,0.12,0.979064165,0.734298124,7.03e-05
0.5,3.39,0.12,0.979064165,0.734298124,6.81e-05
0.5,3.39,0.19,0.979064165,0.734298124,6.84e-05
0.5,3.39,0.19,0.979064165,0.734298124,-0.000146726
0.5,3.39,0.19,0.979064165,0.734298124,0.000134815
0.5,3.39,0.19,0.979064165,0.734298124,0.000131698
0.5,3.39,0.19,0.979064165,0.734298124,3.79e-06
0.5,3.39,-0.06,0.979064165,0.734298124,-0.000160277
0.5,3.39,-0.06,0.979064165,0.734298124,-0.000167605
0.5,3.39,-0.06,0.979064165,0.734298124,1.01e-05
0.5,3.39,-0.06,0.979064165,0.734298124,-6.3e-05
0.5,3.39,-0.06,0.979064165,0.734298124,0.000103352
