,job_id,incrad,minsep,crowder_potential,phi_slot,phi_membrane,Deff_membrane,totflux_A_1000
0,1,0.5,0.7,-0.25,0.807092845,0.605319634,0.571176867,8.24E-05
1,1,0.5,0.7,-0.06,0.807092845,0.605319634,0.533405736,-0.000250788
2,2,0.5,0.7,-0.06,0.807092845,0.605319634,0.532710975,-0.000161178
3,3,0.5,0.7,-0.06,0.807092845,0.605319634,0.532563507,6.86E-05
4,4,0.5,0.7,-0.06,0.807092845,0.605319634,0.533715694,0.000152739
5,5,0.5,0.7,-0.06,0.807092845,0.605319634,0.532437988,0.00017658
6,1,0.5,0.7,-0.12,0.807092845,0.605319634,0.542653742,6.12E-05
7,2,0.5,0.7,-0.12,0.807092845,0.605319634,0.543684378,8.00E-06
8,3,0.5,0.7,-0.12,0.807092845,0.605319634,0.544410239,0.000174121
9,4,0.5,0.7,-0.12,0.807092845,0.605319634,0.543960816,0.000187319
10,5,0.5,0.7,-0.12,0.807092845,0.605319634,0.544623309,3.92E-05
11,1,0.5,1.77,-0.19,0.943158065,0.707368549,0.704174508,-6.76E-05
12,2,0.5,1.77,-0.19,0.943158065,0.707368549,0.70545179,0.000249473
13,3,0.5,1.77,-0.19,0.943158065,0.707368549,0.7048649,0.000464713
14,4,0.5,1.77,-0.19,0.943158065,0.707368549,0.703888628,0.000206942
15,5,0.5,1.77,-0.19,0.943158065,0.707368549,0.705650577,-5.51E-05
16,1,0.5,1.24,-0.12,0.894023402,0.670517552,0.637378325,-8.24E-05
17,2,0.5,1.24,-0.12,0.894023402,0.670517552,0.637565538,-5.87E-06
18,3,0.5,1.24,-0.12,0.894023402,0.670517552,0.63847921,-0.000251772
19,4,0.5,1.24,-0.12,0.894023402,0.670517552,0.63719562,0.000162064
20,5,0.5,1.24,-0.12,0.894023402,0.670517552,0.637473178,-0.000116595
21,1,0.5,1.24,-0.06,0.894023402,0.670517552,0.622958786,-0.000231785
22,2,0.5,1.24,-0.06,0.894023402,0.670517552,0.623541786,-0.000190519
23,3,0.5,1.24,-0.06,0.894023402,0.670517552,0.622963746,3.74E-06
24,4,0.5,1.24,-0.06,0.894023402,0.670517552,0.624176434,-3.77E-05
25,1,0.5,0.7,0.25,0.807092845,0.605319634,0.476477015,-5.14E-06
26,2,0.5,0.7,0.25,0.807092845,0.605319634,0.475904798,-0.000111489
27,3,0.5,0.7,0.25,0.807092845,0.605319634,0.4759243,-0.000124273
28,4,0.5,0.7,0.25,0.807092845,0.605319634,0.476661121,5.52E-05
29,5,0.5,0.7,0.25,0.807092845,0.605319634,0.476303081,0.000136548
30,1,0.5,0.7,0.12,0.807092845,0.605319634,0.498414031,0.000277014
31,2,0.5,0.7,0.12,0.807092845,0.605319634,0.498988703,0.00036436
32,3,0.5,0.7,0.12,0.807092845,0.605319634,0.498580215,-1.21E-05
33,4,0.5,0.7,0.12,0.807092845,0.605319634,0.498040477,-0.000107262
34,5,0.5,0.7,0.12,0.807092845,0.605319634,0.499124955,0.000213142
35,1,0.5,1.24,0.12,0.894023402,0.670517552,0.583881336,-0.000127753
36,2,0.5,1.24,0.12,0.894023402,0.670517552,0.584158488,-8.87E-05
37,3,0.5,1.24,0.12,0.894023402,0.670517552,0.58321996,3.92E-05
38,4,0.5,1.24,0.12,0.894023402,0.670517552,0.584846239,-9.55E-06
39,5,0.5,1.24,0.12,0.894023402,0.670517552,0.582474903,-0.000131756
40,1,0.5,0.7,0,0.807092845,0.605319634,0.521830525,0.000134813
41,2,0.5,0.7,0,0.807092845,0.605319634,0.5202492,-4.48E-05
42,3,0.5,0.7,0,0.807092845,0.605319634,0.520731557,-3.32E-05
43,4,0.5,0.7,0,0.807092845,0.605319634,0.522045258,-0.000274837
44,5,0.5,0.7,0,0.807092845,0.605319634,0.521200519,8.09E-06
45,1,0.5,1.24,0,0.894023402,0.670517552,0.60970352,0.000195437
46,2,0.5,1.24,0,0.894023402,0.670517552,0.610322574,0.000300168
47,3,0.5,1.24,0,0.894023402,0.670517552,0.609178051,4.06E-05
48,4,0.5,1.24,0,0.894023402,0.670517552,0.60940939,-0.000451317
49,5,0.5,1.24,0,0.894023402,0.670517552,0.609973901,-3.57E-05
50,1,0.5,1.24,-0.25,0.894023402,0.670517552,0.670688942,-0.000222843
51,2,0.5,1.24,-0.25,0.894023402,0.670517552,0.668094874,-4.65E-05
52,3,0.5,1.24,-0.25,0.894023402,0.670517552,0.671849107,-0.000289168
53,4,0.5,1.24,-0.25,0.894023402,0.670517552,0.67030949,-0.000358369
54,5,0.5,1.24,-0.25,0.894023402,0.670517552,0.669997389,0.000154178
55,1,0.5,0.7,0.06,0.807092845,0.605319634,0.509761077,4.94E-06
56,1,0.5,0.7,0.19,0.807092845,0.605319634,0.487056985,0.00012863
57,2,0.5,0.7,0.19,0.807092845,0.605319634,0.487109609,-8.07E-05
58,3,0.5,0.7,0.19,0.807092845,0.605319634,0.486443876,1.41E-05
59,4,0.5,0.7,0.19,0.807092845,0.605319634,0.488393165,8.24E-05
60,5,0.5,0.7,0.19,0.807092845,0.605319634,0.486734868,-3.18E-06
61,1,0.5,1.24,-0.19,0.894023402,0.670517552,0.654272911,2.12E-05
62,2,0.5,1.24,-0.19,0.894023402,0.670517552,0.65591388,9.99E-05
63,3,0.5,1.24,-0.19,0.894023402,0.670517552,0.654609457,6.22E-05
64,4,0.5,1.24,-0.19,0.894023402,0.670517552,0.653038825,-8.04E-05
65,5,0.5,1.24,-0.19,0.894023402,0.670517552,0.654760746,1.12E-05
66,1,0.5,1.24,0.25,0.894023402,0.670517552,0.555672193,-0.000512547
67,2,0.5,1.24,0.25,0.894023402,0.670517552,0.555197498,0.000249297
68,3,0.5,1.24,0.25,0.894023402,0.670517552,0.556424763,-3.83E-05
69,4,0.5,1.24,0.25,0.894023402,0.670517552,0.55708361,0.000116478
70,5,0.5,1.24,0.25,0.894023402,0.670517552,0.558202834,0.000136394
71,1,0.5,1.24,0.19,0.894023402,0.670517552,0.568496059,0.000116189
72,2,0.5,1.24,0.19,0.894023402,0.670517552,0.568801821,-0.000122173
73,3,0.5,1.24,0.19,0.894023402,0.670517552,0.568914796,-2.41E-05
74,4,0.5,1.24,0.19,0.894023402,0.670517552,0.569291503,0.000315254
75,5,0.5,1.24,0.19,0.894023402,0.670517552,0.568191034,-0.000142439
76,1,0.5,1.24,0.06,0.894023402,0.670517552,0.59657644,-0.000105719
77,2,0.5,1.24,0.06,0.894023402,0.670517552,0.597066705,4.48E-05
78,3,0.5,1.24,0.06,0.894023402,0.670517552,0.596988574,-0.000216223
79,4,0.5,1.24,0.06,0.894023402,0.670517552,0.595582577,-0.000150571
80,5,0.5,1.24,0.06,0.894023402,0.670517552,0.59618863,0.000101233
81,1,0.5,1.77,-0.25,0.943158065,0.707368549,0.717677942,0.000232326
82,2,0.5,1.77,-0.25,0.943158065,0.707368549,0.71714667,0.00014804
83,3,0.5,1.77,-0.25,0.943158065,0.707368549,0.714333933,-8.25E-05
84,4,0.5,1.77,-0.25,0.943158065,0.707368549,0.7173774,0.00012284
85,5,0.5,1.77,-0.25,0.943158065,0.707368549,0.718537535,6.75E-05
86,1,0.5,1.77,0,0.943158065,0.707368549,0.671141541,0.000273621
87,2,0.5,1.77,0,0.943158065,0.707368549,0.671509422,-1.59E-05
88,3,0.5,1.77,0,0.943158065,0.707368549,0.67142891,0.000117006
89,4,0.5,1.77,0,0.943158065,0.707368549,0.671491092,3.67E-05
90,5,0.5,1.77,0,0.943158065,0.707368549,0.671439144,-3.44E-05
91,1,0.5,1.77,-0.12,0.943158065,0.707368549,0.692361134,0.000171619
92,2,0.5,1.77,-0.12,0.943158065,0.707368549,0.692063314,0.000325582
93,3,0.5,1.77,-0.12,0.943158065,0.707368549,0.692666677,-2.02E-06
94,4,0.5,1.77,-0.12,0.943158065,0.707368549,0.69245542,0.000114076
95,5,0.5,1.77,-0.12,0.943158065,0.707368549,0.69144874,1.77E-05
96,1,0.5,1.77,-0.06,0.943158065,0.707368549,0.682485438,0.000298465
97,2,0.5,1.77,-0.06,0.943158065,0.707368549,0.681980799,-1.92E-05
98,3,0.5,1.77,-0.06,0.943158065,0.707368549,0.681881469,5.31E-05
99,4,0.5,1.77,-0.06,0.943158065,0.707368549,0.681922683,7.97E-05
100,5,0.5,1.77,-0.06,0.943158065,0.707368549,0.681832038,0.000406983
101,1,0.5,1.77,0.06,0.943158065,0.707368549,0.661659113,8.48E-05
102,2,0.5,1.77,0.06,0.943158065,0.707368549,0.661461863,0.000145371
103,3,0.5,1.77,0.06,0.943158065,0.707368549,0.662176639,0.000227611
104,4,0.5,1.77,0.06,0.943158065,0.707368549,0.661711791,8.84E-05
105,5,0.5,1.77,0.06,0.943158065,0.707368549,0.661539774,-3.97E-05
106,1,0.5,2.85,-0.12,0.97717437,0.732880778,0.725913702,-0.000398969
107,2,0.5,2.85,-0.12,0.97717437,0.732880778,0.726245451,-0.000195003
108,3,0.5,2.85,-0.12,0.97717437,0.732880778,0.725573916,-0.000157523
109,4,0.5,2.85,-0.12,0.97717437,0.732880778,0.725645887,-0.000222247
110,5,0.5,2.85,-0.12,0.97717437,0.732880778,0.724559209,-0.00024973
111,1,0.5,2.31,0.25,0.954496833,0.715872625,0.64726984,-1.83E-05
112,2,0.5,2.31,0.25,0.954496833,0.715872625,0.648135151,0.000153926
113,3,0.5,2.31,0.25,0.954496833,0.715872625,0.646990036,0.000224436
114,4,0.5,2.31,0.25,0.954496833,0.715872625,0.648243926,0.000164209
115,5,0.5,2.31,0.25,0.954496833,0.715872625,0.647438635,0.000276601
116,1,0.5,2.85,-0.25,0.97717437,0.732880778,0.734797561,2.68E-05
117,2,0.5,2.85,-0.25,0.97717437,0.732880778,0.737281495,-5.96E-05
118,3,0.5,2.85,-0.25,0.97717437,0.732880778,0.735810337,-0.000157677
119,4,0.5,2.85,-0.25,0.97717437,0.732880778,0.736574838,0.000159816
120,5,0.5,2.85,-0.25,0.97717437,0.732880778,0.734545619,-0.000167133
121,1,0.5,2.31,0.19,0.954496833,0.715872625,0.656371536,0.000130505
122,2,0.5,2.31,0.19,0.954496833,0.715872625,0.657410908,2.19E-07
123,3,0.5,2.31,0.19,0.954496833,0.715872625,0.65608674,-1.68E-05
124,4,0.5,2.31,0.19,0.954496833,0.715872625,0.65717673,9.23E-05
125,5,0.5,2.31,0.19,0.954496833,0.715872625,0.6566738,0.000183398
126,1,0.5,2.85,-0.19,0.97717437,0.732880778,0.731322344,2.39E-05
127,2,0.5,2.85,-0.19,0.97717437,0.732880778,0.731317824,-0.000131615
128,3,0.5,2.85,-0.19,0.97717437,0.732880778,0.731070253,-0.000106034
129,4,0.5,2.85,-0.19,0.97717437,0.732880778,0.731021859,9.07E-05
130,5,0.5,2.85,-0.19,0.97717437,0.732880778,0.732114887,-0.000137228
131,1,0.5,1.77,0.12,0.943158065,0.707368549,0.652713129,0.000272533
132,2,0.5,1.77,0.12,0.943158065,0.707368549,0.651796326,-8.71E-05
133,3,0.5,1.77,0.12,0.943158065,0.707368549,0.650083963,-0.000127092
134,4,0.5,1.77,0.12,0.943158065,0.707368549,0.652034676,-9.14E-05
135,5,0.5,1.77,0.12,0.943158065,0.707368549,0.650373527,0.000168873
136,1,0.5,2.31,-0.25,0.954496833,0.715872625,0.725860891,0.000319265
137,2,0.5,2.31,-0.25,0.954496833,0.715872625,0.726072525,0.000289928
138,3,0.5,2.31,-0.25,0.954496833,0.715872625,0.724689207,0.000111146
139,4,0.5,2.31,-0.25,0.954496833,0.715872625,0.724512672,0.000160923
140,5,0.5,2.31,-0.25,0.954496833,0.715872625,0.724997348,0.000189774
141,1,0.5,1.77,0.19,0.943158065,0.707368549,0.639688068,-5.79E-06
142,2,0.5,1.77,0.19,0.943158065,0.707368549,0.640230429,0.000206194
143,3,0.5,1.77,0.19,0.943158065,0.707368549,0.640294093,0.000267434
144,4,0.5,1.77,0.19,0.943158065,0.707368549,0.639755492,0.000173856
145,5,0.5,1.77,0.19,0.943158065,0.707368549,0.641055305,0.000186646
146,1,0.5,1.77,0.25,0.943158065,0.707368549,0.630389076,2.82E-05
147,2,0.5,1.77,0.25,0.943158065,0.707368549,0.630720883,0.000133387
148,3,0.5,1.77,0.25,0.943158065,0.707368549,0.630478784,0.000287403
149,4,0.5,1.77,0.25,0.943158065,0.707368549,0.629985401,6.12E-06
150,5,0.5,1.77,0.25,0.943158065,0.707368549,0.630587504,7.22E-05
151,1,0.5,2.31,-0.19,0.954496833,0.715872625,0.715368201,-0.000124327
152,2,0.5,2.31,-0.19,0.954496833,0.715872625,0.71562431,0.000201241
153,3,0.5,2.31,-0.19,0.954496833,0.715872625,0.715455719,-0.000299421
